Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
despicable me 2,pg,,"april winchell, bailey gambertoglio, benjamin bratt, dana gaier, elsie kate fisher, georgia cook, jan rabson, kristen wiig, miranda cosgrove, moises arias, russell brand, steve carell, steve coogan","animation, comedy, family",07/03/2013 (wed),"chris renaud, pierre coffin",uni,universal,2013,,english,"christopher meledandri, janet healy",illumination entertainment,Q3 2013,quad,"3d, flat, imax","cinco paul, ken daurio","368,065,385",160,"3,956","4,003","124,926,235","35,010,665","20,895","83,517,315","3,997",98
blood on the mountain,nr,,,documentary,11/18/2016,mari-lynn evans & jordan freeman,abr,abramorama,2017,,english,"deborah wallace, jordan freeman, mari-lynn evans",,Q4 2016,dolby srd,flat,"deborah wallace, jordan freeman, mari-lynn evans, matthew sanchez","4,664",95,2,2,"4,664",0,"1,592","3,184",2,90
"bronx bull, the",r,,"cloris leachman, joe mantegna, mike starr, natasha henstridge, paul sorvino, penelope ann miller, tom sizemore, william forsythe","drama, suspense",1/6/2017,martin guigui,mmtp,momentum pictures,2017,,english,,,Q1 2017,,scope,"martin guigui, rustam branaman",0,32,10,10,0,0,0,0,10,94
memphis,nr,,willis earl beal,drama,9/5/2014,tim sutton,knlor,kino lorber,,,english,john baker,,Q3 2014,dolby sr,flat,tim sutton,"21,286",0,1,5,"5,410",0,0,0,1,75
casting by,nr,,,documentary,11/1/2013,tom donahue,subd,submarine deluxe,2014,,english,,,Q4 2013,,,,"18,164",319,2,2,"9,370",0,"2,824","5,649",2,89
underdog (2007),pg,,"alex neuberger, amy adams, james belushi, jason lee, patrick warburton, peter dinklage","family, adventure, comedy",8/3/2007,frederik du chau,dis,disney,2007,,english,"gary barber, jay polstein, jonathan glickman, roger birnbaum",spyglass entertainment,Q3 2007,quad,scope,"adam rifkin, craig a. williams, joe piscatella","43,760,605",137,"3,013","3,013","18,290,912","4,140,660","3,845","11,585,121","3,013",84
weiner,r,,,documentary,5/20/2016,"elyse steinberg, josh kriegman",ifc,ifc films,,,english,"elyse steinberg, josh kriegman",,Q2 2016,dolby srd,flat,,"1,676,108",0,5,88,"128,668",0,"16,835","84,173",5,96
"common man, a",nr,,"ben cross, ben kingsley, jerome de silva, mohamed adamaly","action, suspense",3/15/2013,chandran rutnam,ind,independent,2013,,english,,,Q1 2013,,,"chandran rutnam, neeraj pandey",0,67,0,0,0,0,0,0,0,0
reunion (2009),nr,,"alice evans, brett cullen, christopher mcdonald, cynthia stevenson, zoe mclellan",drama,3/6/2009,alan hruska,ind,independent,,,english,"jonathan gray, matt tauber, petina cole",,Q1 2009,,,alan hruska,"8,030",0,2,2,"8,030",0,"3,271","6,542",2,90
norman,r,,"adam goldberg, dan byrd, dan keston, emily vancamp, richard jenkins","comedy, drama",10/21/2011,jonathan segal,ind,independent,2014,,english,"hawk koch, jonathan segal",,Q4 2011,,digital,talton wingate,0,900,11,11,0,0,0,0,11,98
"godfather part ii, the (re)",,,"abe vigoda, al pacino, bruno kirby, danny aiello, diane keaton, harry dean stanton, robert de niro","drama, crime",,francis ford coppola,oth,other,,,english,francis ford coppola,,,,,mario puzo,0,0,0,0,0,0,0,0,0,0
dysfunctional friends,nr,,"essence atkins, keith robinson, meagan good, stacey keibler, tatyana ali, terrell owens",comedy,2/3/2012,corey grant,ind,independent,2012,,english,datari turner,,Q1 2012,dolby sr,flat,corey grant,0,60,2,2,0,0,0,0,2,111
women of faith: amazing joyful journey,nr,,,special events,02/18/2016 (thu),event director,fthm,fathom events,,,english,,,Q1 2016,dolby srd,,,0,0,0,0,0,0,0,0,0,100
peggy guggenheim: art addict,nr,,,"documentary, foreign",11/6/2015,lisa immordino vreeland,subd,submarine deluxe,2016,,english,"dan braun, david koh, stanley buchthal",,Q4 2015,stereo,digital,"bernadine colish, dan braun, david koh, john northrup","481,040",354,2,25,"35,266",0,"10,309","20,618",2,97
"young messiah, the",pg13,,"adam greaves-neal, agni scott, david bradley, isabelle adriani, jane lapotaire, jonathan bailey, lee boardman, rory keenan, sara lazzaro, sean bean","drama, family",3/11/2016,cyrus nowrasteh,foc,focus features,2016,,english,"chris columbus, mark radcliffe, mark w. shaw, michael barnathan, tracy k. price","1492 pictures, cj entertainment, echo lake entertainment, hyde park entertainment, ingenious media services limited, ocean blue entertainment, rise entertainment",Q1 2016,dolby srd,scope,"betsy giffen nowrasteh, cyrus nowrasteh","6,490,401",95,"1,761","1,769","4,312,355","1,388,013","1,871","3,294,876","1,761",111
"surfer, dude",r,,"alexie gilmore, jeffrey nordling, matthew mcconaughey, sarah wright, woody harrelson",comedy,9/5/2008,s.r. bindler,anchr,anchor bay,2008,,english,"gus gustawes, mark gustawes, matthew mcconaughey",playtone,Q3 2008,dolby srd,flat,"cory van dyke, s.r. bindler","36,497",116,1,69,"6,788","2,810","5,971","5,971",1,85
"fault in our stars, the",pg13,,"ansel elgort, debbie hartner, emily peachey, laura dern, lotte verbeek, mike birbiglia, milica govich, nat wolff, sam trammell, shailene woodley, sophie guest, willem dafoe","drama, romance",6/6/2014,josh boone,fox,20th century fox,2014,,english,wyck godfrey,"dayday films, temple hill entertainment",Q2 2014,quad,,"michael h. weber, scott neustadter","124,872,350",102,"3,173","3,340","65,975,267","26,062,046","15,128","48,002,523","3,173",125
american satan,r,,"andy biersack, denise richards, drake bell, john bradley, malcolm mcdowell",suspense,10/13/2017,ash avildsen,ind,independent,,,english,"ash avildsen, matty beckerman, sean e demott",sumerian films,Q4 2017,dolby srd,scope,"ash avildsen, matty beckerman","226,233",0,55,55,"162,529","86,300","2,461","135,378",55,111
swing away (re: 2017),pg,,"alexandros mylonas, christos sougaris, john o'hurley, karl theobald, manos gavros, olga damani, renos haralambidis, shannon elizabeth, viktoria miller","comedy, drama",10/13/2017,michael a. nickles,esmp,entertainment studios motion pictures,,,english,"george elias stephanopoulos, george kiriakos, kostas lambropoulos, stamatios tom hiotis",,Q4 2017,stereo,flat,"julia wall, paul robert lingas",0,0,10,10,0,0,0,0,10,98
miles,nr,,"molly shannon, stephen root, tim boardman","comedy, drama",6/9/2017,nathan adloff,esmp,entertainment studios motion pictures,,,english,,,Q2 2017,dolby srd,flat,"justin d.m. palmer, nathan adloff","2,537",0,2,2,"2,537","1,676","1,074","2,147",2,87
alice neel,nr,,alice neel,documentary,4/20/2007,andrew neel,stp,seethink productions,,,english,"ethan palmer, rebecca spence",,Q2 2007,,,,"48,969",0,1,1,"10,986",0,"6,207","6,207",1,0
we are wizards,nr,,"joe degeorge, melissa anelli, paul degeorge",documentary,11/14/2008,josh koury,ind,independent,,,english,gerald lewis,,Q4 2008,,,,0,0,1,1,0,0,0,0,1,79
"longest ride, the",pg13,,"alan alda, amber chaney, amy parrish, barry ratcliffe, brett edwards, britt robertson, hayley lovitt, hunter burke, jack huston, lindsey elizabeth, lolita davidovich, melissa benoist, oona chaplin, peter jurasik, scott eastwood","drama, romance",4/10/2015,george tillman jr.,fox,20th century fox,2015,,english,"marty bowen, nicholas sparks, theresa park, wyck godfrey",temple hill entertainment,Q2 2015,quad,scope,craig bolotin,"37,446,117",95,"3,366","3,371","16,660,516","5,514,221","3,868","13,019,686","3,366",128
i am i,nr,,"jason ritter, jocelyn towne, kevin tighe, ramon de ocampo, simon helberg",drama,6/13/2014,jocelyn towne,grav,gravitas ventures,,,english,"cora olson, jennifer dubin",,Q2 2014,dolby sr,flat,jocelyn towne,0,0,2,2,0,0,0,0,2,87
how to make money selling drugs,nr,,"curtis '50 cent' jackson, david simon, susan sarandon, woody harrelson",documentary,06/26/2013 (wed),matthew cooke,trbca,tribeca film,2013,,english,"adrian grenier, bert marcus",,Q2 2013,dolby srd,flat,matthew cooke,"39,192",139,1,5,"15,240",0,"1,840","9,202",5,96
officer down,r,,"annalynne mccord, david boreanaz, dominic purcell, james woods, stephen dorff, stephen lang, tommy flanagan, walton goggins","suspense, drama",1/18/2013,brian a. miller,anchr,anchor bay,2013,,english,"jeff bozz, jeff rice, jess most, mohammad zahoor",,Q1 2013,,scope,john chase,"1,184",4,1,1,"1,184",684,"1,061","1,061",1,97
vino veritas (2013),nr,,"bernard white, brian hutchison, carrie preston, heather raffo",comedy,8/9/2013,sarah knight,ind,independent,,,english,,,Q3 2013,,flat,david macgregor,0,0,0,0,0,0,0,0,0,0
just gender,nr,,,documentary,11/20/2013 (wed),george zuber,knlor,kino lorber,,,english,,,Q4 2013,stereo,digital,,0,0,0,0,0,0,0,0,0,95
for no good reason,r,,"hal willner, hunter s. thompson, jann wenner, johnny depp, patrick godfrey, ralph steadman, richard e. grant, terry gilliam","documentary, foreign",4/25/2014,charlie paul,spc,sony pictures classics,2014,,english,lucy paul,,Q2 2014,,,,"67,421",130,2,21,"6,966",0,"2,258","4,516",2,89
boys of abu ghraib,r,,"john heard, michael welch, sara paxton, scott gordon-patterson, sean astin","drama, suspense",3/28/2014,luke moran,ind,independent,2014,,english,,,Q1 2014,dolby srd,scope,luke moran,0,18,0,0,0,0,0,0,0,102
sea of trees,pg13,,"katie aselton, ken watanabe, matthew mcconaughey, naomi watts",drama,8/26/2016,gus van sant,a24,a24,2016,,english,"allen fischer, e. brian dobbins, f. gary gray, gil netter, kenneth kao",,Q3 2016,,,chris sparling,"20,444",67,2,101,"3,276",656,938,"1,877",2,110
thy father's chair,nr,,,documentary,10/13/2017,"alex lora, antonio tibaldi",ind,independent,,,english,antonio tibaldi,no permits produktions,Q4 2017,,,,0,0,0,0,0,0,0,0,0,74
tinker bell and the great fairy rescue,,,"kathy najimy, kristin chenoweth, lucy liu, mae whitman, michael sheen, pamela adlon",animation,,bradley raymond,oth,other,,,english,margot pipkin,disneytoon studios,,,,"bob hilgenberg, rob muir",0,0,0,0,0,0,0,0,0,0
happy christmas,r,,"anna kendrick, joe swanberg, lena dunham, mark webber, melanie lynskey",comedy,7/25/2014,joe swanberg,mag,magnolia pictures,2014,,english,"alicia van couvering, joe swanberg, peter gilbert",,Q3 2014,dolby sr,flat,joe swanberg,"30,312",109,4,9,"10,423",0,"1,881","7,523",4,82
occupy unmasked,nr,,,documentary,9/21/2012,stephen k. bannon,mag,magnolia pictures,2012,,english,"dan fleuette, david n. bossie, tien pasco",,Q3 2012,stereo,digital,stephen k. bannon,"52,768",4,4,4,"44,266",0,"10,238","40,952",4,75
hairspray,pg,,"allison janney, amanda bynes, christopher walken, elijah kelley, james marsden, john travolta, michelle pfeiffer, nicole blonsky, queen latifah, zac efron","musical, comedy, drama",7/20/2007,adam shankman,nlc,new line cinema,2007,,english,"craig zadan, neil meron",storyline entertainment,Q3 2007,quad,scope,leslie dixon,"118,871,849",123,"3,121","3,121","43,757,397",0,"8,804","27,476,745","3,121",117
21 jump street,r,,"brie larson, channing tatum, dakota johnson, dave franco, ellie kemper, ice cube, jonah hill, lindsey broad","comedy, action",3/16/2012,"chris miller (i), phil lord",sny,sony,2012,,english,"neal h. moritz, stephen j. cannell","cannell studios, columbia pictures, metro-goldwyn-mayer (mgm), original film, relativity media",Q1 2012,quad,scope,michael bacall,"138,447,667",102,"3,121","3,148","49,751,328","13,239,489","11,632","36,302,612","3,121",110
approaching midnight,pg,,"brandon t. jackson, carollette phillips, dean teaster, jana kramer, janet pound, jeffery stetson, matthew szymanski, mia serafino, michelle lynne balser, sam logan khaleghi, william cobbs","drama, crime",8/30/2013,sam logan khaleghi,mont,monterey media,2013,,english,,,Q3 2013,,,sam logan khaleghi,"2,795",39,6,6,"1,777",0,186,"1,119",6,86
spettacolo,nr,,,documentary,09/06/2017 (wed),"chris shellen, jeff malmberg",grass,grasshopper film,2018,,italian,"chris shellen, jeff malmberg, matt radecki",,Q3 2017,dolby srd,flat,"chris shellen, jeff malmberg","32,494",160,0,4,"8,286",0,"2,202","4,403",2,91
bang! the bert berns story,nr,,,documentary,04/26/2017 (wed),"bob sarles, brett berns",abr,abramorama,,,english,,,Q2 2017,dolby srd,scope,,"59,300",0,1,5,"6,715",0,"3,923","3,923",1,95
"evening with neil young live q&a, an",nr,,,special events,02/29/2016 (mon),event director,fthm,fathom events,,,english,,,Q1 2016,,,,0,0,0,0,0,0,0,0,0,225
"tall man, the",r,,"jessica biel, jodelle ferland, katherine ramdeen, samantha ferris, stephen mchattie, william b. davis","suspense, foreign, horror, mystery",8/31/2012,pascal laugier,image,image entertainment,2012,,english,"clement miserez, jean-charles levy, kevin dewalt, scott hamilton kennedy","cold rock productions bc, forecast pictures, iron ocean films",Q3 2012,"dolby sr, dolby srd",flat,pascal laugier,0,25,0,0,0,0,0,0,0,100
more than a game,pg,,"dru joyce, lebron james, romeo travis, sian cotton, willie mcgee",documentary,10/2/2009,kristopher belman,lgf,lionsgate,2010,,english,"harvey mason jr., kevin mann, kristopher belman, matthew perniciaro",,Q4 2009,dolby srd,flat,"brad hogan, kristopher belman","950,675",123,14,111,"220,864","92,220","13,067","182,943",14,102
"kill hole, the",nr,,"billy zane, chadwick boseman, dennis adkins, peter greene, ted rooney, tory kittles",action,3/15/2013,mischa webley,ind,independent,2013,,english,,,Q1 2013,,,mischa webley,0,25,0,0,0,0,0,0,0,0
last vegas,pg13,,"bre blair, jena sims, jerry ferrara, kevin kline, mary steenburgen, michael douglas, morgan freeman, robert de niro, roger bart, romany malco, weronika rosati",comedy,11/1/2013,jon turteltaub,cbs,cbs films,2014,,english,"amy baer, laurence mark",good universe,Q4 2013,dolby srd,scope,dan fogelman,"63,910,583",88,"3,065","3,237","22,430,736","5,089,792","5,329","16,334,566","3,065",90
boiling pot,nr,,"danielle fishel, john heard, keith david, louis gossett jr., m. emmet walsh",drama,9/11/2015,omar ashmawey,idc,indican pictures,2015,,english,"ibrahim ashmawey, omar ashmawey",,Q3 2015,dolby sr,flat,"ibrahim ashmawey, omar ashmawey",0,11,0,0,0,0,0,0,0,107
"serious man, a",r,,"adam arkin, fyvush finkel, george wyner, michael stuhlbarg, peter breitmayer, richard kind, sari lennick, simon helberg",comedy,10/2/2009,"ethan coen, joel coen",foc,focus features,2010,,english,"ethan coen, joel coen","mike zoss productions, relativity media, studio canal, working title films",Q4 2009,"dts, dolby srd",flat,"ethan coen, joel coen","9,228,788",130,6,262,"351,986","72,987","41,890","251,337",6,105
we are x,nr,,"x japan, yoshiki",documentary,10/21/2016,stephen kijak,drft,drafthouse films,2017,,english,john battsek,,Q4 2016,dolby srd,flat,,"45,270",186,1,12,"9,346",0,"7,526","7,526",1,95
"secret life of bees, the",pg13,,"alicia keyes, dakota fanning, hilarie burton, paul bettany, queen latifah","drama, adventure",10/17/2008,gina prince-bythewood,fsl,fox searchlight,2009,,english,"ewan leslie, james lassiter, joe pichirallo, lauren shuler donner, will smith","fox searchlight pictures, overbrook entertainment",Q4 2008,quad,scope,,"37,780,486",109,"1,591","1,630","13,273,191","3,563,157","6,617","10,527,799","1,591",110
otter 501,g,,,documentary,5/11/2012,bob talbot,pala,paladin,,,english,,,Q2 2012,,,,"24,449",0,3,4,"8,230",0,"1,815","5,444",3,84
woodshock,r,,"joe cole, kirsten dunst, pilou asbaek","drama, suspense",9/22/2017,"kate mulleavy, laura mulleavy",a24,a24,2017,,english,"ben leclair, k.k. barrett, ken kao, michael costigan","cota films, waypoint entertainment",Q3 2017,,,"kate mulleavy, laura mulleavy","42,469",67,3,39,"15,774","5,552","4,082","12,247",3,100
canelo vs. chavez jr,r,,,special events,05/06/2017 (sat),event director,fthm,fathom events,,,english,,,Q2 2017,dolby srd,,,"370,584",0,273,273,"370,584","370,584","1,357","370,584",273,240
seventh son,pg13,,"alicia vikander, ben barnes, djimon hounsou, jeff bridges, julianne moore, kit harington, olivia williams","adventure, family, fantasy, foreign, science fiction",2/6/2015,sergei bodrov,uni,universal,2015,,english,"basil iwanyk, lionel wigram, thomas tull","legendary entertainment, thunder road pictures",Q1 2015,quad,"3d, imax, scope","charles leavitt, max borenstein","17,725,785",109,"2,875","2,875","9,270,440","2,287,050","2,510","7,217,640","2,875",102
david and goliath (dir. chey),pg,,"jerry sokolosky, joseph emms, makenna guyler, miles sloman, paul hughes, richard summers-calvert",drama,4/3/2015,timothy a. chey,ind,independent,2015,,english,"susan f. chey, timothy a. chey","fallen state films, riverrain productions",Q2 2015,,,timothy a. chey,"278,021",214,31,34,"214,271",0,"4,997","154,901",31,92
"pleasure of being robbed, the",nr,,eleonore hendricks,comedy,10/3/2008,joshua safdie,ifc,ifc films,2010,,english,"brett jutkiewicz, joshua safdie, sam lisenco, zachary treitz",,Q4 2008,,,"eleonore hendricks, joshua safdie","10,687",494,7,7,"10,687",0,"1,103","7,720",7,71
push,pg13,,"camilla belle, chris evans, dakota fanning, djimon hounsou, joel gretsch, maggie siff, ming-na wen, neil jackson","action, science fiction, suspense",2/6/2009,paul mcguigan,smt,summit entertainment,2009,,english,"amy gilliam, bruce davey, william vince","icon productions, infinity features entertainment",Q1 2009,"dts, dolby srd",scope,david bourla,"31,811,527",151,"2,313","2,313","12,394,428","3,531,508","4,358","10,079,109","2,313",112
as i am: the life and times of dj am,nr,,,documentary,5/27/2016,kevin kerslake,abr,abramorama,,,english,"dan franklin, joel marcus, kevin kerslake, robert bruce",,Q2 2016,,,kevin kerslake,0,0,0,0,0,0,0,0,0,109
"judge, the",r,,"balthazar getty, billy bob thornton, david krumholtz, dax shepard, emma tremblay, ian nelson, jeremy strong, ken howard, leighton meester, robert downey  jr., robert duvall, sarah lancaster, vera farmiga, vincent d'onofrio",drama,10/10/2014,david dobkin,wb,warner bros.,2015,,english,"david dobkin, david gambino, susan downey","big kid pictures, team downey",Q4 2014,quad,scope,bill dubuque,"47,119,388",109,"3,003","3,003","18,903,343","4,427,427","4,368","13,116,226","3,003",142
